parallel thread,prefetch buffer size,mean img/s,std deviation
2,1,191.42,330.55
4,1,259.45,302.35
8,1,355.18,272.06
16,1,304.39,291.54
32,1,368.93,339.57
64,1,568.87,291.18
128,1,749.73,332.07
256,1,510.66,319.57
2,2,300.38,507.7
4,2,60.17,89.12
8,2,279.52,420.08
16,2,392.49,384.87
32,2,498.65,321.5
64,2,639.47,257.02
128,2,733.83,228.12
256,2,738.23,239.61
2,3,293.39,448.43
4,3,429.36,490.26
8,3,472.5,464.31
16,3,562.99,376.71
32,3,644.04,334.49
64,3,774.9,220.95
128,3,837.75,130.52
256,3,721.52,59.69
2,4,407.99,509.75
4,4,549.1,521.1
8,4,580.23,472.16
16,4,659.47,403.2
32,4,782.95,313.05
64,4,868.05,161.73
128,4,831.03,249.31
256,4,892.97,210.62
2,5,410.96,511.18
4,5,652.81,524.8
8,5,692.29,474.33
16,5,708.1,451.12
32,5,844.14,318.37
64,5,836.95,267.14
128,5,985.3,107.28
256,5,931.68,237.11
2,6,396.89,519.61
4,6,758.36,518.98
8,6,791.91,476.9
16,6,835.75,394.44
32,6,827.9,381.46
64,6,959.78,216
128,6,895.47,61.69
256,6,752.31,115.52
2,7,422.27,505.12
4,7,774.22,514.83
8,7,891.53,436.09
16,7,921.31,334.66
32,7,1003.3,224.03
64,7,1040.27,68.14
128,7,933.5,61.08
256,7,693.06,30.68
2,8,426.93,504.51
4,8,568.71,506.66
8,8,996.3,366.82
16,8,975.86,372.22
32,8,1024.78,332.4
64,8,1008.7,69.34
128,8,980.53,101.44
256,8,686.22,15.08
